Author;Title;ISBN_10;Price;Weight;
Reza Aslan (Author);Zealot: The Life and Times of Jesus of Nazareth [Hardcover];140006922X;16.89;1.2;
Neil Gaiman (Author);The Ocean at the End of the Lane: A Novel [Deckle Edge] [Hardcover];0062255657;15.22;4.1;
Europa Publications (Editor);The Europa Regional Surveys of the World Set 2011: 9-Volume Set [Hardcover];1857435885;7450.00;7.8;
Reza Aslan (Author);No god but God: The Origins and Evolution of Islam [Paperback];0385739761;8.99;2.6;
Daniel Wallace (Author), Zack Snyder (Introduction);Man of Steel: Inside the Legendary World of Superman [Hardcover];1608871819;31.07;2.8;
Titan Books (Author);World War Z: The Art of the Film [Paperback];1781168857;15.83;7.6;
Chuck Klosterman (Author);I Wear the Black Hat: Grappling with Villains (Real and Imagined) [Hardcover];1439184496;15.49;2.2;
Neil Gaiman (Author);The Ocean at the End of the Lane: A Novel [Deckle Edge] [Hardcover];0062255657;15.22;9.4;
Alan LeMay (Author);The Unforgiven [Paperback];147780630X;8.97;8.8;
Robert Galbraith (Author), J.K. Rowling (Author);The Cuckoo's Calling [Hardcover];0316206849;17.47;1.4;
Daniel Silva (Author);The English Girl: A Novel (Gabriel Allon) [Hardcover];0062073168;16.46;3.6;
David S Cohen (Author), Guillermo del Toro (Foreword);Pacific Rim: Man, Machines, and Monsters [Hardcover];1608871827;27.83;3.2;
Lee Child (Author);Never Go Back: A Jack Reacher Novel [Hardcover];0385344341;17.52;4.9;
Jenni Rivera (Author);Inquebrantable: Mi Historia, A Mi Manera (Atria Espanol) (Spanish Edition) [Paperback];1476745420;10.18;6.4;
Sylvia Day (Author);Sylvia Day Crossfire Series Boxed Set: Bared to You/Reflected in You/Entwined with You [Paperback];0425266060;26.32;2.2;
Daniel Silva (Author);The English Girl: A Novel (Gabriel Allon) [Hardcover];0062073168;16.46;3.6;
Rick Riordan (Author);The House of Hades (Heroes of Olympus, Book 4) [Hardcover];1423146727;10.19;4.4;
Mark Leibovich (Author);This Town: Two Parties and a Funeral-Plus, Plenty of Valet Parking!-in America's Gilded Capital [Hardcover];0399161309;15.37;1.4;
Ree Drummond (Author);The Pioneer Woman Cooks: A Year of Holidays: 135 Step-by-Step Recipes for Simple, Scrumptious Celebrations [Hardcover];0062225227;20.29;1.4;
Stephen Wolfram (Author);A New Kind of Science [Hardcover];1579550088;35.25;5.6;
